"Step","dinov3_l_lora_balanced - train/loss","dinov3_l_lora_balanced - train/loss__MIN","dinov3_l_lora_balanced - train/loss__MAX","dinov3_l_full_ft - train/loss","dinov3_l_full_ft - train/loss__MIN","dinov3_l_full_ft - train/loss__MAX","dinov3_l_lora - train/loss","dinov3_l_lora - train/loss__MIN","dinov3_l_lora - train/loss__MAX"
"0","0.00510661173648285","0.00510661173648285","0.00510661173648285","0.0033643050576271996","0.0033643050576271996","0.0033643050576271996","0.0023889365256143445","0.0023889365256143445","0.0023889365256143445"
"1","0.0032594471076424296","0.0032594471076424296","0.0032594471076424296","0.0016073147443739298","0.0016073147443739298","0.0016073147443739298","0.001378425519227354","0.001378425519227354","0.001378425519227354"
"2","0.002381398323891908","0.002381398323891908","0.002381398323891908","0.0010234552934604664","0.0010234552934604664","0.0010234552934604664","0.001181103545073509","0.001181103545073509","0.001181103545073509"
"3","0.002169544388019323","0.002169544388019323","0.002169544388019323","0.0008077498035871834","0.0008077498035871834","0.0008077498035871834","0.0011670687788802542","0.0011670687788802542","0.0011670687788802542"
"4","0.0023707295697220146","0.0023707295697220146","0.0023707295697220146","0.0008211289135964919","0.0008211289135964919","0.0008211289135964919","0.0009399012296407449","0.0009399012296407449","0.0009399012296407449"
"5","0.0018115788267741037","0.0018115788267741037","0.0018115788267741037","0.0006817282028357212","0.0006817282028357212","0.0006817282028357212","0.0010213857700039819","0.0010213857700039819","0.0010213857700039819"
"6","0.002233999137654629","0.002233999137654629","0.002233999137654629","0.0005776508605705923","0.0005776508605705923","0.0005776508605705923","0.0007424699687935953","0.0007424699687935953","0.0007424699687935953"
"7","0.0016074207803628631","0.0016074207803628631","0.0016074207803628631","0.0005095322619569441","0.0005095322619569441","0.0005095322619569441","0.0007456398497208359","0.0007456398497208359","0.0007456398497208359"
"8","0.0014509259809879884","0.0014509259809879884","0.0014509259809879884","0.0004898708899991045","0.0004898708899991045","0.0004898708899991045","0.0006183406712018866","0.0006183406712018866","0.0006183406712018866"
"9","0.0010838591955645526","0.0010838591955645526","0.0010838591955645526","0.0003910754321814002","0.0003910754321814002","0.0003910754321814002","0.0005887371517433046","0.0005887371517433046","0.0005887371517433046"
"10","0.001054700528361352","0.001054700528361352","0.001054700528361352","0.0003565414197282492","0.0003565414197282492","0.0003565414197282492","0.0005186305390210861","0.0005186305390210861","0.0005186305390210861"
"11","0.0009749416636641309","0.0009749416636641309","0.0009749416636641309","0.0003336976839171857","0.0003336976839171857","0.0003336976839171857","0.00047145588728176446","0.00047145588728176446","0.00047145588728176446"
"12","0.0008103031456871282","0.0008103031456871282","0.0008103031456871282","","","","0.0004220758652578154","0.0004220758652578154","0.0004220758652578154"
"13","0.0007785497289721033","0.0007785497289721033","0.0007785497289721033","","","","0.00038874035794817457","0.00038874035794817457","0.00038874035794817457"
"14","0.0007580763012371519","0.0007580763012371519","0.0007580763012371519","","","","0.00037248655392780244","0.00037248655392780244","0.00037248655392780244"
