"Step","phase2_balanced_resnet50 - val/err_male","phase2_balanced_resnet50 - val/err_male__MIN","phase2_balanced_resnet50 - val/err_male__MAX","phase2_balanced_convnext_tiny - val/err_male","phase2_balanced_convnext_tiny - val/err_male__MIN","phase2_balanced_convnext_tiny - val/err_male__MAX","phase2_balanced_vit_b_16 - val/err_male","phase2_balanced_vit_b_16 - val/err_male__MIN","phase2_balanced_vit_b_16 - val/err_male__MAX","phase2_balanced_swin_t - val/err_male","phase2_balanced_swin_t - val/err_male__MIN","phase2_balanced_swin_t - val/err_male__MAX","dinov2_small - val/err_male","dinov2_small - val/err_male__MIN","dinov2_small - val/err_male__MAX","swin_t - val/err_male","swin_t - val/err_male__MIN","swin_t - val/err_male__MAX","vit_b_16 - val/err_male","vit_b_16 - val/err_male__MIN","vit_b_16 - val/err_male__MAX","convnext_tiny - val/err_male","convnext_tiny - val/err_male__MIN","convnext_tiny - val/err_male__MAX","efficientnet_b3 - val/err_male","efficientnet_b3 - val/err_male__MIN","efficientnet_b3 - val/err_male__MAX","cnn_baseline - val/err_male","cnn_baseline - val/err_male__MIN","cnn_baseline - val/err_male__MAX"
"0","0.001569641288369894","0.001569641288369894","0.001569641288369894","0.0011768072145059705","0.0011768072145059705","0.0011768072145059705","0.001454800134524703","0.001454800134524703","0.001454800134524703","0.0013619042001664639","0.0013619042001664639","0.0013619042001664639","0.0015833127545192838","0.0015833127545192838","0.0015833127545192838","0.00133143353741616","0.00133143353741616","0.00133143353741616","0.0015958307776600122","0.0015958307776600122","0.0015958307776600122","0.001298195100389421","0.001298195100389421","0.001298195100389421","0.001890314742922783","0.001890314742922783","0.001890314742922783","0.0015743914991617203","0.0015743914991617203","0.0015743914991617203"
"1","0.0027790688909590244","0.0027790688909590244","0.0027790688909590244","0.001080867019481957","0.001080867019481957","0.001080867019481957","0.0012126689543947577","0.0012126689543947577","0.0012126689543947577","0.0012138456804677844","0.0012138456804677844","0.0012138456804677844","0.0017389056738466024","0.0017389056738466024","0.0017389056738466024","0.0013444748474285007","0.0013444748474285007","0.0013444748474285007","0.0012028311612084508","0.0012028311612084508","0.0012028311612084508","0.0010775000555440784","0.0010775000555440784","0.0010775000555440784","0.0013196752406656742","0.0013196752406656742","0.0013196752406656742","0.0017273271223530173","0.0017273271223530173","0.0017273271223530173"
"2","0.0013092317385599017","0.0013092317385599017","0.0013092317385599017","0.0013209112221375108","0.0013209112221375108","0.0013209112221375108","0.0011169638019055128","0.0011169638019055128","0.0011169638019055128","0.0010916264727711678","0.0010916264727711678","0.0010916264727711678","0.002567172748968005","0.002567172748968005","0.002567172748968005","0.0012061605229973793","0.0012061605229973793","0.0012061605229973793","0.001160527695901692","0.001160527695901692","0.001160527695901692","0.0010923340450972319","0.0010923340450972319","0.0010923340450972319","0.0013437711168080568","0.0013437711168080568","0.0013437711168080568","0.0014123201835900545","0.0014123201835900545","0.0014123201835900545"
"3","0.001224841340444982","0.001224841340444982","0.001224841340444982","0.0011070286855101585","0.0011070286855101585","0.0011070286855101585","0.0010703743901103735","0.0010703743901103735","0.0010703743901103735","0.0010459083132445812","0.0010459083132445812","0.0010459083132445812","0.00213545560836792","0.00213545560836792","0.00213545560836792","0.001301614218391478","0.001301614218391478","0.001301614218391478","0.001112263067625463","0.001112263067625463","0.001112263067625463","0.0009653234155848622","0.0009653234155848622","0.0009653234155848622","0.0012106024660170078","0.0012106024660170078","0.0012106024660170078","0.0011957548558712006","0.0011957548558712006","0.0011957548558712006"
"4","0.0015407308237627149","0.0015407308237627149","0.0015407308237627149","0.0012197034666314721","0.0012197034666314721","0.0012197034666314721","0.0011483064154163003","0.0011483064154163003","0.0011483064154163003","0.0010838662274181843","0.0010838662274181843","0.0010838662274181843","0.0018117966828867793","0.0018117966828867793","0.0018117966828867793","0.0010802897159010172","0.0010802897159010172","0.0010802897159010172","0.0011167488992214203","0.0011167488992214203","0.0011167488992214203","0.0009542412590235472","0.0009542412590235472","0.0009542412590235472","0.0013067481340840459","0.0013067481340840459","0.0013067481340840459","0.0011598127894103527","0.0011598127894103527","0.0011598127894103527"
"5","0.0011019904632121325","0.0011019904632121325","0.0011019904632121325","0.0010885769734159112","0.0010885769734159112","0.0010885769734159112","0.0010542323580011725","0.0010542323580011725","0.0010542323580011725","0.0010207953164353967","0.0010207953164353967","0.0010207953164353967","0.0029951923061162233","0.0029951923061162233","0.0029951923061162233","0.0010934036690741777","0.0010934036690741777","0.0010934036690741777","0.0010754966642707586","0.0010754966642707586","0.0010754966642707586","0.0010059773921966553","0.0010059773921966553","0.0010059773921966553","0.0011279720347374678","0.0011279720347374678","0.0011279720347374678","0.0010360892629250884","0.0010360892629250884","0.0010360892629250884"
"6","0.0010817372240126133","0.0010817372240126133","0.0010817372240126133","0.000945615756791085","0.000945615756791085","0.000945615756791085","0.0009803692810237408","0.0009803692810237408","0.0009803692810237408","0.0009985275100916624","0.0009985275100916624","0.0009985275100916624","0.002235057530924678","0.002235057530924678","0.002235057530924678","0.0011026826687157154","0.0011026826687157154","0.0011026826687157154","0.0009956591529771686","0.0009956591529771686","0.0009956591529771686","0.000970591907389462","0.000970591907389462","0.000970591907389462","0.00104462297167629","0.00104462297167629","0.00104462297167629","0.001165838330052793","0.001165838330052793","0.001165838330052793"
"7","0.0010906708193942904","0.0010906708193942904","0.0010906708193942904","0.0009558844030834734","0.0009558844030834734","0.0009558844030834734","0.0009849118068814278","0.0009849118068814278","0.0009849118068814278","0.0010450957342982292","0.0010450957342982292","0.0010450957342982292","0.001623379299417138","0.001623379299417138","0.001623379299417138","0.001083011506125331","0.001083011506125331","0.001083011506125331","0.000993624678812921","0.000993624678812921","0.000993624678812921","0.0010133689502254128","0.0010133689502254128","0.0010133689502254128","0.0010616658255457878","0.0010616658255457878","0.0010616658255457878","0.001234054216183722","0.001234054216183722","0.001234054216183722"
"8","0.0010421057231724262","0.0010421057231724262","0.0010421057231724262","0.0009654214954935014","0.0009654214954935014","0.0009654214954935014","0.00098642916418612","0.00098642916418612","0.00098642916418612","0.0010376516729593277","0.0010376516729593277","0.0010376516729593277","0.002227600198239088","0.002227600198239088","0.002227600198239088","0.001023731892928481","0.001023731892928481","0.001023731892928481","0.0009624853846617043","0.0009624853846617043","0.0009624853846617043","0.0009957700967788696","0.0009957700967788696","0.0009957700967788696","0.001057006767950952","0.001057006767950952","0.001057006767950952","0.0010242110583931208","0.0010242110583931208","0.0010242110583931208"
"9","0.0010531700681895018","0.0010531700681895018","0.0010531700681895018","0.0009559643804095685","0.0009559643804095685","0.0009559643804095685","0.0009681573719717562","0.0009681573719717562","0.0009681573719717562","0.0010025473311543465","0.0010025473311543465","0.0010025473311543465","0.0018641527276486158","0.0018641527276486158","0.0018641527276486158","0.0009400423732586205","0.0009400423732586205","0.0009400423732586205","0.0010498203337192535","0.0010498203337192535","0.0010498203337192535","0.0009782059350982308","0.0009782059350982308","0.0009782059350982308","0.001106079900637269","0.001106079900637269","0.001106079900637269","0.0012479649158194661","0.0012479649158194661","0.0012479649158194661"
