"Step","efficientvit_b1 - val/err_male","efficientvit_b1 - val/err_male__MIN","efficientvit_b1 - val/err_male__MAX"
"0","0.002299817046150565","0.002299817046150565","0.002299817046150565"
"1","0.003036346286535263","0.003036346286535263","0.003036346286535263"
"2","0.0014154358068481088","0.0014154358068481088","0.0014154358068481088"
"3","0.0012293964391574264","0.0012293964391574264","0.0012293964391574264"
"4","0.0014337522443383932","0.0014337522443383932","0.0014337522443383932"
"5","0.0012413088697940111","0.0012413088697940111","0.0012413088697940111"
"6","0.001270668930374086","0.001270668930374086","0.001270668930374086"
"7","0.001083639683201909","0.001083639683201909","0.001083639683201909"
"8","0.0010762754827737808","0.0010762754827737808","0.0010762754827737808"
"9","0.0012764215935021639","0.0012764215935021639","0.0012764215935021639"
"10","0.0011912176851183176","0.0011912176851183176","0.0011912176851183176"
