"Step","efficientvit_b1 - val/err_diff_abs","efficientvit_b1 - val/err_diff_abs__MIN","efficientvit_b1 - val/err_diff_abs__MAX"
"0","0.00018349080346524715","0.00018349080346524715","0.00018349080346524715"
"1","0.0004931977018713951","0.0004931977018713951","0.0004931977018713951"
"2","0.00035820878110826015","0.00035820878110826015","0.00035820878110826015"
"3","0.00020717049483209848","0.00020717049483209848","0.00020717049483209848"
"4","0.0004669515765272081","0.0004669515765272081","0.0004669515765272081"
"5","0.0002680923789739609","0.0002680923789739609","0.0002680923789739609"
"6","0.00033912179060280323","0.00033912179060280323","0.00033912179060280323"
"7","0.0004671937203966081","0.0004671937203966081","0.0004671937203966081"
"8","0.0004167481674812734","0.0004167481674812734","0.0004167481674812734"
"9","0.000633574731182307","0.000633574731182307","0.000633574731182307"
"10","0.00047024956438690424","0.00047024956438690424","0.00047024956438690424"
