"Step","efficientvit_b1 - val/score","efficientvit_b1 - val/score__MIN","efficientvit_b1 - val/score__MAX"
"0","0.0023915624478831887","0.0023915624478831887","0.0023915624478831887"
"1","0.0037761428393423557","0.0037761428393423557","0.0037761428393423557"
"2","0.0015945401974022388","0.0015945401974022388","0.0015945401974022388"
"3","0.0013329816865734756","0.0013329816865734756","0.0013329816865734756"
"4","0.0016672280326019973","0.0016672280326019973","0.0016672280326019973"
"5","0.0013753550592809916","0.0013753550592809916","0.0013753550592809916"
"6","0.0014402298256754875","0.0014402298256754875","0.0014402298256754875"
"7","0.0013172365434002131","0.0013172365434002131","0.0013172365434002131"
"8","0.0012846495665144175","0.0012846495665144175","0.0012846495665144175"
"9","0.0015932089590933174","0.0015932089590933174","0.0015932089590933174"
"10","0.0014263424673117697","0.0014263424673117697","0.0014263424673117697"
