"Step","phase2_balanced_resnet50 - train/loss","phase2_balanced_resnet50 - train/loss__MIN","phase2_balanced_resnet50 - train/loss__MAX","phase2_balanced_convnext_tiny - train/loss","phase2_balanced_convnext_tiny - train/loss__MIN","phase2_balanced_convnext_tiny - train/loss__MAX","phase2_balanced_vit_b_16 - train/loss","phase2_balanced_vit_b_16 - train/loss__MIN","phase2_balanced_vit_b_16 - train/loss__MAX","phase2_balanced_swin_t - train/loss","phase2_balanced_swin_t - train/loss__MIN","phase2_balanced_swin_t - train/loss__MAX","dinov2_small - train/loss","dinov2_small - train/loss__MIN","dinov2_small - train/loss__MAX","swin_t - train/loss","swin_t - train/loss__MIN","swin_t - train/loss__MAX","vit_b_16 - train/loss","vit_b_16 - train/loss__MIN","vit_b_16 - train/loss__MAX","convnext_tiny - train/loss","convnext_tiny - train/loss__MIN","convnext_tiny - train/loss__MAX","efficientnet_b3 - train/loss","efficientnet_b3 - train/loss__MIN","efficientnet_b3 - train/loss__MAX","cnn_baseline - train/loss","cnn_baseline - train/loss__MIN","cnn_baseline - train/loss__MAX"
"10","0.00039308250889925694","0.00039308250889925694","0.00039308250889925694","0.0003779873203205119","0.0003779873203205119","0.0003779873203205119","0.0003080456346614267","0.0003080456346614267","0.0003080456346614267","0.000510445946849858","0.000510445946849858","0.000510445946849858","0.0012813005785268993","0.0012813005785268993","0.0012813005785268993","0.0005403323994024594","0.0005403323994024594","0.0005403323994024594","0.0003235201712442111","0.0003235201712442111","0.0003235201712442111","0.0003459479300674358","0.0003459479300674358","0.0003459479300674358","0.0002510174564829378","0.0002510174564829378","0.0002510174564829378","0.00023565054161160537","0.00023565054161160537","0.00023565054161160537"
"11","0.0003396282172208957","0.0003396282172208957","0.0003396282172208957","0.000344235281996913","0.000344235281996913","0.000344235281996913","","","","0.0004745577529371228","0.0004745577529371228","0.0004745577529371228","0.001136054609901334","0.001136054609901334","0.001136054609901334","0.0004959197083026129","0.0004959197083026129","0.0004959197083026129","0.00028755910034160504","0.00028755910034160504","0.00028755910034160504","0.0003086581501163793","0.0003086581501163793","0.0003086581501163793","0.0002265521410449459","0.0002265521410449459","0.0002265521410449459","0.0002003851658283283","0.0002003851658283283","0.0002003851658283283"
"12","0.00029367019528380063","0.00029367019528380063","0.00029367019528380063","0.00028153325257124256","0.00028153325257124256","0.00028153325257124256","","","","0.0004231681234254679","0.0004231681234254679","0.0004231681234254679","0.0009545750985018437","0.0009545750985018437","0.0009545750985018437","0.0004514872164691365","0.0004514872164691365","0.0004514872164691365","0.0002566590943330741","0.0002566590943330741","0.0002566590943330741","0.00027115514702210817","0.00027115514702210817","0.00027115514702210817","0.00020507588930245894","0.00020507588930245894","0.00020507588930245894","0.00017403320683086678","0.00017403320683086678","0.00017403320683086678"
"13","0.00024649588129772816","0.00024649588129772816","0.00024649588129772816","0.00024584200284108785","0.00024584200284108785","0.00024584200284108785","","","","0.000383073559096775","0.000383073559096775","0.000383073559096775","0.0008448886167681142","0.0008448886167681142","0.0008448886167681142","0.0004032431440664413","0.0004032431440664413","0.0004032431440664413","0.00022958571042429237","0.00022958571042429237","0.00022958571042429237","0.00024709583687075154","0.00024709583687075154","0.00024709583687075154","0.00019059893555468943","0.00019059893555468943","0.00019059893555468943","0.00015132352063366162","0.00015132352063366162","0.00015132352063366162"
"14","0.00022028307222591206","0.00022028307222591206","0.00022028307222591206","0.0002239909125949692","0.0002239909125949692","0.0002239909125949692","","","","0.0003459396709088674","0.0003459396709088674","0.0003459396709088674","0.0007161624902533673","0.0007161624902533673","0.0007161624902533673","0.0003717644223049028","0.0003717644223049028","0.0003717644223049028","0.00020740023563676027","0.00020740023563676027","0.00020740023563676027","0.0002258435238598125","0.0002258435238598125","0.0002258435238598125","0.00017568217720244185","0.00017568217720244185","0.00017568217720244185","0.00013151019749423786","0.00013151019749423786","0.00013151019749423786"
"15","0.00018850993987501975","0.00018850993987501975","0.00018850993987501975","0.00019753706843933942","0.00019753706843933942","0.00019753706843933942","","","","0.0003274264517332514","0.0003274264517332514","0.0003274264517332514","0.0006223262482034673","0.0006223262482034673","0.0006223262482034673","0.0003511104497647628","0.0003511104497647628","0.0003511104497647628","0.00018955349397685282","0.00018955349397685282","0.00018955349397685282","0.00020471294400206428","0.00020471294400206428","0.00020471294400206428","0.00016161914799005313","0.00016161914799005313","0.00016161914799005313","0.00011675188761405031","0.00011675188761405031","0.00011675188761405031"
"16","0.00016843063717435596","0.00016843063717435596","0.00016843063717435596","0.0001770958115695893","0.0001770958115695893","0.0001770958115695893","","","","0.0003001660567724992","0.0003001660567724992","0.0003001660567724992","0.0005406217692701965","0.0005406217692701965","0.0005406217692701965","0.0003204496596527711","0.0003204496596527711","0.0003204496596527711","0.00017596782241746447","0.00017596782241746447","0.00017596782241746447","0.00019056034757426648","0.00019056034757426648","0.00019056034757426648","0.000154058019955233","0.000154058019955233","0.000154058019955233","0.0001032310153089801","0.0001032310153089801","0.0001032310153089801"
"17","0.00015437613600506242","0.00015437613600506242","0.00015437613600506242","0.00016643961551331135","0.00016643961551331135","0.00016643961551331135","","","","0.00029719919341394426","0.00029719919341394426","0.00029719919341394426","0.0004883378676533712","0.0004883378676533712","0.0004883378676533712","0.00030904803376394804","0.00030904803376394804","0.00030904803376394804","0.00016724838045661152","0.00016724838045661152","0.00016724838045661152","0.00018462367635755189","0.00018462367635755189","0.00018462367635755189","0.00014691645103444916","0.00014691645103444916","0.00014691645103444916","0.00009411166721120501","0.00009411166721120501","0.00009411166721120501"
"18","0.00014661911925933482","0.00014661911925933482","0.00014661911925933482","0.00015645055146362312","0.00015645055146362312","0.00015645055146362312","","","","0.0002855981055171955","0.0002855981055171955","0.0002855981055171955","0.0004419666803519331","0.0004419666803519331","0.0004419666803519331","0.00029724802838438865","0.00029724802838438865","0.00029724802838438865","0.00016143265515671817","0.00016143265515671817","0.00016143265515671817","0.00017849608510197751","0.00017849608510197751","0.00017849608510197751","0.00014392689963898045","0.00014392689963898045","0.00014392689963898045","0.00008821817317460362","0.00008821817317460362","0.00008821817317460362"
"19","0.00014024779132041428","0.00014024779132041428","0.00014024779132041428","0.00015284138241207702","0.00015284138241207702","0.00015284138241207702","","","","0.00028247435912450987","0.00028247435912450987","0.00028247435912450987","0.00041151796197773637","0.00041151796197773637","0.00041151796197773637","0.0002885209788783146","0.0002885209788783146","0.0002885209788783146","0.00015819423181668882","0.00015819423181668882","0.00015819423181668882","0.00017411583276331284","0.00017411583276331284","0.00017411583276331284","0.00014201365796806463","0.00014201365796806463","0.00014201365796806463","0.00008596521577268685","0.00008596521577268685","0.00008596521577268685"
