"Step","phase2_balanced_resnet50 - val/score","phase2_balanced_resnet50 - val/score__MIN","phase2_balanced_resnet50 - val/score__MAX","phase2_balanced_convnext_tiny - val/score","phase2_balanced_convnext_tiny - val/score__MIN","phase2_balanced_convnext_tiny - val/score__MAX","phase2_balanced_vit_b_16 - val/score","phase2_balanced_vit_b_16 - val/score__MIN","phase2_balanced_vit_b_16 - val/score__MAX","phase2_balanced_swin_t - val/score","phase2_balanced_swin_t - val/score__MIN","phase2_balanced_swin_t - val/score__MAX","dinov2_small - val/score","dinov2_small - val/score__MIN","dinov2_small - val/score__MAX","swin_t - val/score","swin_t - val/score__MIN","swin_t - val/score__MAX","vit_b_16 - val/score","vit_b_16 - val/score__MIN","vit_b_16 - val/score__MAX","convnext_tiny - val/score","convnext_tiny - val/score__MIN","convnext_tiny - val/score__MAX","efficientnet_b3 - val/score","efficientnet_b3 - val/score__MIN","efficientnet_b3 - val/score__MAX","cnn_baseline - val/score","cnn_baseline - val/score__MIN","cnn_baseline - val/score__MAX"
"0","0.0018148674280382693","0.0018148674280382693","0.0018148674280382693","0.0013865280197933316","0.0013865280197933316","0.0013865280197933316","0.0016219125245697796","0.0016219125245697796","0.0016219125245697796","0.0015466594486497343","0.0015466594486497343","0.0015466594486497343","0.0018093206454068422","0.0018093206454068422","0.0018093206454068422","0.0014768065884709358","0.0014768065884709358","0.0014768065884709358","0.0016698209219612181","0.0016698209219612181","0.0016698209219612181","0.0014756669115740806","0.0014756669115740806","0.0014756669115740806","0.001959252927917987","0.001959252927917987","0.001959252927917987","0.0017980504198931158","0.0017980504198931158","0.0017980504198931158"
"1","0.002912399242632091","0.002912399242632091","0.002912399242632091","0.0012027261836919934","0.0012027261836919934","0.0012027261836919934","0.0013225582079030573","0.0013225582079030573","0.0013225582079030573","0.0014112717763055116","0.0014112717763055116","0.0014112717763055116","0.0018915131804533303","0.0018915131804533303","0.0018915131804533303","0.0015547398070339113","0.0015547398070339113","0.0015547398070339113","0.0014034176710993052","0.0014034176710993052","0.0014034176710993052","0.001239367265952751","0.001239367265952751","0.001239367265952751","0.001393880695104599","0.001393880695104599","0.001393880695104599","0.0019868031959049404","0.0019868031959049404","0.0019868031959049404"
"2","0.0015650481509510428","0.0015650481509510428","0.0015650481509510428","0.0015257579216267914","0.0015257579216267914","0.0015257579216267914","0.0013304426684044302","0.0013304426684044302","0.0013304426684044302","0.0012844642624258995","0.0012844642624258995","0.0012844642624258995","0.0029169824556447566","0.0029169824556447566","0.0029169824556447566","0.001378267363179475","0.001378267363179475","0.001378267363179475","0.0013643858837895095","0.0013643858837895095","0.0013643858837895095","0.0012968645314686","0.0012968645314686","0.0012968645314686","0.0015152693376876414","0.0015152693376876414","0.0015152693376876414","0.001651949540246278","0.001651949540246278","0.001651949540246278"
"3","0.0013954415917396545","0.0013954415917396545","0.0013954415917396545","0.0013320796424522996","0.0013320796424522996","0.0013320796424522996","0.0012671661679632962","0.0012671661679632962","0.0012671661679632962","0.0012012204970233142","0.0012012204970233142","0.0012012204970233142","0.002340426668524742","0.002340426668524742","0.002340426668524742","0.0014020057278685272","0.0014020057278685272","0.0014020057278685272","0.0013107966806273907","0.0013107966806273907","0.0013107966806273907","0.0011124310549348593","0.0011124310549348593","0.0011124310549348593","0.0013388905790634453","0.0013388905790634453","0.0013388905790634453","0.0013839434541296214","0.0013839434541296214","0.0013839434541296214"
"4","0.0018834165821317583","0.0018834165821317583","0.0018834165821317583","0.0013921979698352516","0.0013921979698352516","0.0013921979698352516","0.0012821723648812622","0.0012821723648812622","0.0012821723648812622","0.0012910062505397946","0.0012910062505397946","0.0012910062505397946","0.002002445515245199","0.002002445515245199","0.002002445515245199","0.0012928112410008907","0.0012928112410008907","0.0012928112410008907","0.0011990644852630794","0.0011990644852630794","0.0011990644852630794","0.0011507701128721237","0.0011507701128721237","0.0011507701128721237","0.0015608234389219433","0.0015608234389219433","0.0015608234389219433","0.001369949837680906","0.001369949837680906","0.001369949837680906"
"5","0.0013231220946181566","0.0013231220946181566","0.0013231220946181566","0.001345933589618653","0.001345933589618653","0.001345933589618653","0.0012780304241459817","0.0012780304241459817","0.0012780304241459817","0.0012234945897944272","0.0012234945897944272","0.0012234945897944272","0.0033551352098584175","0.0033551352098584175","0.0033551352098584175","0.0013340603036340326","0.0013340603036340326","0.0013340603036340326","0.0012114575365558267","0.0012114575365558267","0.0012114575365558267","0.0012152355047874153","0.0012152355047874153","0.0012152355047874153","0.001376872562104836","0.001376872562104836","0.001376872562104836","0.0012280756200198084","0.0012280756200198084","0.0012280756200198084"
"6","0.001306909805862233","0.001306909805862233","0.001306909805862233","0.0011383418168406934","0.0011383418168406934","0.0011383418168406934","0.0011565527238417417","0.0011565527238417417","0.0011565527238417417","0.0011770859418902546","0.0011770859418902546","0.0011770859418902546","0.002551833284087479","0.002551833284087479","0.002551833284087479","0.0013240569387562573","0.0013240569387562573","0.0013240569387562573","0.0011810010764747858","0.0011810010764747858","0.0011810010764747858","0.0011962275311816484","0.0011962275311816484","0.0011962275311816484","0.0012151786359027028","0.0012151786359027028","0.0012151786359027028","0.001361301401630044","0.001361301401630044","0.001361301401630044"
"7","0.0013363554026000202","0.0013363554026000202","0.0013363554026000202","0.001112842612201348","0.001112842612201348","0.001112842612201348","0.0011781737266574055","0.0011781737266574055","0.0011781737266574055","0.0012905245239380747","0.0012905245239380747","0.0012905245239380747","0.001893574430141598","0.001893574430141598","0.001893574430141598","0.001300388015806675","0.001300388015806675","0.001300388015806675","0.0011892660986632109","0.0011892660986632109","0.0011892660986632109","0.0012140575563535094","0.0012140575563535094","0.0012140575563535094","0.0012827408500015736","0.0012827408500015736","0.0012827408500015736","0.001480572042055428","0.001480572042055428","0.001480572042055428"
"8","0.0012672650918830186","0.0012672650918830186","0.0012672650918830186","0.001203866966534406","0.001203866966534406","0.001203866966534406","0.0011846304114442319","0.0011846304114442319","0.0011846304114442319","0.0012782911071553826","0.0012782911071553826","0.0012782911071553826","0.002413553243968636","0.002413553243968636","0.002413553243968636","0.0012068841606378555","0.0012068841606378555","0.0012068841606378555","0.001162290049251169","0.001162290049251169","0.001162290049251169","0.0012075796257704496","0.0012075796257704496","0.0012075796257704496","0.0013077407784294337","0.0013077407784294337","0.0013077407784294337","0.0012598333414644003","0.0012598333414644003","0.0012598333414644003"
"9","0.0012960839667357504","0.0012960839667357504","0.0012960839667357504","0.001182592415716499","0.001182592415716499","0.001182592415716499","0.0011645446938928217","0.0011645446938928217","0.0011645446938928217","0.001223596977069974","0.001223596977069974","0.001223596977069974","0.0021018111146986485","0.0021018111146986485","0.0021018111146986485","0.0011232976976316422","0.0011232976976316422","0.0011232976976316422","0.0012670430296566337","0.0012670430296566337","0.0012670430296566337","0.0012010543723590672","0.0012010543723590672","0.0012010543723590672","0.0013563582324422896","0.0013563582324422896","0.0013563582324422896","0.0015826972085051239","0.0015826972085051239","0.0015826972085051239"
"10","0.0013319450372364372","0.0013319450372364372","0.0013319450372364372","0.001189396163681522","0.001189396163681522","0.001189396163681522","0.0011858630168717355","0.0011858630168717355","0.0011858630168717355","0.001150064606918022","0.001150064606918022","0.001150064606918022","0.0016704272129572928","0.0016704272129572928","0.0016704272129572928","0.0011876328208018094","0.0011876328208018094","0.0011876328208018094","0.0012570162361953408","0.0012570162361953408","0.0012570162361953408","0.0011960549163632095","0.0011960549163632095","0.0011960549163632095","0.0012562291813082993","0.0012562291813082993","0.0012562291813082993","0.0012532221444416791","0.0012532221444416791","0.0012532221444416791"
"11","0.0012558232119772583","0.0012558232119772583","0.0012558232119772583","0.001219473808305338","0.001219473808305338","0.001219473808305338","","","","0.001337618159595877","0.001337618159595877","0.001337618159595877","0.0016948163392953575","0.0016948163392953575","0.0016948163392953575","0.0011359532072674483","0.0011359532072674483","0.0011359532072674483","0.001190167764434591","0.001190167764434591","0.001190167764434591","0.0011858349316753447","0.0011858349316753447","0.0011858349316753447","0.0012626108946278691","0.0012626108946278691","0.0012626108946278691","0.0012208233820274472","0.0012208233820274472","0.0012208233820274472"
"12","0.0012377759558148682","0.0012377759558148682","0.0012377759558148682","0.0011802214430645108","0.0011802214430645108","0.0011802214430645108","","","","0.0012071628298144788","0.0012071628298144788","0.0012071628298144788","0.002201970142778009","0.002201970142778009","0.002201970142778009","0.0011932449124287814","0.0011932449124287814","0.0011932449124287814","0.0012532213295344263","0.0012532213295344263","0.0012532213295344263","0.0011504984431667253","0.0011504984431667253","0.0011504984431667253","0.0012477276322897524","0.0012477276322897524","0.0012477276322897524","0.0013574233162216842","0.0013574233162216842","0.0013574233162216842"
"13","0.0011339113407302648","0.0011339113407302648","0.0011339113407302648","0.0010970486473524943","0.0010970486473524943","0.0010970486473524943","","","","0.0013058014737907797","0.0013058014737907797","0.0013058014737907797","0.0019111094297841191","0.0019111094297841191","0.0019111094297841191","0.0010990910232067108","0.0010990910232067108","0.0010990910232067108","0.0012092800752725452","0.0012092800752725452","0.0012092800752725452","0.0012083299225196242","0.0012083299225196242","0.0012083299225196242","0.001211461640195921","0.001211461640195921","0.001211461640195921","0.0012654789024963975","0.0012654789024963975","0.0012654789024963975"
"14","0.0012718235375359654","0.0012718235375359654","0.0012718235375359654","0.0011442557006375864","0.0011442557006375864","0.0011442557006375864","","","","0.0012597014283528551","0.0012597014283528551","0.0012597014283528551","0.0015531671524513513","0.0015531671524513513","0.0015531671524513513","0.0010902963840635493","0.0010902963840635493","0.0010902963840635493","0.0011793665471486747","0.0011793665471486747","0.0011793665471486747","0.0011398190254112706","0.0011398190254112706","0.0011398190254112706","0.0012402225111145526","0.0012402225111145526","0.0012402225111145526","0.0012948032235726714","0.0012948032235726714","0.0012948032235726714"
"15","0.0012545878271339461","0.0012545878271339461","0.0012545878271339461","0.0011212704121135175","0.0011212704121135175","0.0011212704121135175","","","","0.0012388086033752188","0.0012388086033752188","0.0012388086033752188","0.001568815321661532","0.001568815321661532","0.001568815321661532","0.0011263613705523312","0.0011263613705523312","0.0011263613705523312","0.001209806592669338","0.001209806592669338","0.001209806592669338","0.0011589518835535273","0.0011589518835535273","0.0011589518835535273","0.0011983207368757576","0.0011983207368757576","0.0011983207368757576","0.0012899710854981095","0.0012899710854981095","0.0012899710854981095"
"16","0.0012576694425661117","0.0012576694425661117","0.0012576694425661117","0.0011289643734926358","0.0011289643734926358","0.0011289643734926358","","","","0.0012356411316432059","0.0012356411316432059","0.0012356411316432059","0.0014911608886905015","0.0014911608886905015","0.0014911608886905015","0.0011526958260219544","0.0011526958260219544","0.0011526958260219544","0.0011931982589885592","0.0011931982589885592","0.0011931982589885592","0.0011666042410070077","0.0011666042410070077","0.0011666042410070077","0.0012417959223967046","0.0012417959223967046","0.0012417959223967046","0.0012950711825396866","0.0012950711825396866","0.0012950711825396866"
"17","0.001264276826987043","0.001264276826987043","0.001264276826987043","0.001105620598536916","0.001105620598536916","0.001105620598536916","","","","0.0012374944344628602","0.0012374944344628602","0.0012374944344628602","0.0015294156037271023","0.0015294156037271023","0.0015294156037271023","0.001145680173067376","0.001145680173067376","0.001145680173067376","0.0011803550296463072","0.0011803550296463072","0.0011803550296463072","0.0011532864155014977","0.0011532864155014977","0.0011532864155014977","0.0011847383284475654","0.0011847383284475654","0.0011847383284475654","0.0012864246673416346","0.0012864246673416346","0.0012864246673416346"
"18","0.0012530109524959698","0.0012530109524959698","0.0012530109524959698","0.0011627334461081773","0.0011627334461081773","0.0011627334461081773","","","","0.0012602346832863986","0.0012602346832863986","0.0012602346832863986","0.0014685519854538143","0.0014685519854538143","0.0014685519854538143","0.0011556496319826692","0.0011556496319826692","0.0011556496319826692","0.001184912893222645","0.001184912893222645","0.001184912893222645","0.0011782243964262307","0.0011782243964262307","0.0011782243964262307","0.0012062067398801446","0.0012062067398801446","0.0012062067398801446","0.0013113081513438374","0.0013113081513438374","0.0013113081513438374"
"19","0.0012639678898267448","0.0012639678898267448","0.0012639678898267448","0.0011359440977685153","0.0011359440977685153","0.0011359440977685153","","","","0.0012335828796494752","0.0012335828796494752","0.0012335828796494752","0.0015067822532728314","0.0015067822532728314","0.0015067822532728314","0.0011418595822760835","0.0011418595822760835","0.0011418595822760835","0.0011975436063949019","0.0011975436063949019","0.0011975436063949019","0.0011664046614896506","0.0011664046614896506","0.0011664046614896506","0.0012118729355279356","0.0012118729355279356","0.0012118729355279356","0.0013104104436933994","0.0013104104436933994","0.0013104104436933994"
