"Step","dinov3_l_lora_balanced - val/score","dinov3_l_lora_balanced - val/score__MIN","dinov3_l_lora_balanced - val/score__MAX","dinov3_l_full_ft - val/score","dinov3_l_full_ft - val/score__MIN","dinov3_l_full_ft - val/score__MAX","dinov3_l_lora - val/score","dinov3_l_lora - val/score__MIN","dinov3_l_lora - val/score__MAX"
"0","0.0017200755537487566","0.0017200755537487566","0.0017200755537487566","0.001921733026392758","0.001921733026392758","0.001921733026392758","0.0015961300232447684","0.0015961300232447684","0.0015961300232447684"
"1","0.0017009570146910846","0.0017009570146910846","0.0017009570146910846","0.0018328698934055865","0.0018328698934055865","0.0018328698934055865","0.0012776541407220066","0.0012776541407220066","0.0012776541407220066"
"2","0.0014927399170119315","0.0014927399170119315","0.0014927399170119315","0.001428323012078181","0.001428323012078181","0.001428323012078181","0.001232776528922841","0.001232776528922841","0.001232776528922841"
"3","0.0014837401104159653","0.0014837401104159653","0.0014837401104159653","0.0013856371224392205","0.0013856371224392205","0.0013856371224392205","0.0013416875735856593","0.0013416875735856593","0.0013416875735856593"
"4","0.0016635655774734914","0.0016635655774734914","0.0016635655774734914","0.0015781987458467484","0.0015781987458467484","0.0015781987458467484","0.0013999598158989102","0.0013999598158989102","0.0013999598158989102"
"5","0.001405369897838682","0.001405369897838682","0.001405369897838682","0.0012719617516268045","0.0012719617516268045","0.0012719617516268045","0.0012507840583566576","0.0012507840583566576","0.0012507840583566576"
"6","0.0013479633489623666","0.0013479633489623666","0.0013479633489623666","0.0012849266058765352","0.0012849266058765352","0.0012849266058765352","0.0012381077976897359","0.0012381077976897359","0.0012381077976897359"
"7","0.0015012760122772306","0.0015012760122772306","0.0015012760122772306","0.0012234235473442823","0.0012234235473442823","0.0012234235473442823","0.0011787189287133515","0.0011787189287133515","0.0011787189287133515"
"8","0.0012578535825014114","0.0012578535825014114","0.0012578535825014114","0.0012155882723163813","0.0012155882723163813","0.0012155882723163813","0.0010594651976134628","0.0010594651976134628","0.0010594651976134628"
"9","0.0013246224261820316","0.0013246224261820316","0.0013246224261820316","0.001244669925654307","0.001244669925654307","0.001244669925654307","0.001136145059717819","0.001136145059717819","0.001136145059717819"
"10","0.0012474910181481391","0.0012474910181481391","0.0012474910181481391","0.0012319126981310546","0.0012319126981310546","0.0012319126981310546","0.0011204290494788438","0.0011204290494788438","0.0011204290494788438"
"11","0.001250637898920104","0.001250637898920104","0.001250637898920104","0.00124283492914401","0.00124283492914401","0.00124283492914401","0.001107090211007744","0.001107090211007744","0.001107090211007744"
"12","0.0011540146369952708","0.0011540146369952708","0.0011540146369952708","","","","0.001070300058927387","0.001070300058927387","0.001070300058927387"
"13","0.0011442044924478978","0.0011442044924478978","0.0011442044924478978","","","","0.0010603463306324556","0.0010603463306324556","0.0010603463306324556"
"14","0.0011294602882117033","0.0011294602882117033","0.0011294602882117033","","","","0.0010723010636866093","0.0010723010636866093","0.0010723010636866093"
