"Step","efficientvit_b1 - val/err_female","efficientvit_b1 - val/err_female__MIN","efficientvit_b1 - val/err_female__MAX"
"0","0.002116326242685318","0.002116326242685318","0.002116326242685318"
"1","0.003529543988406658","0.003529543988406658","0.003529543988406658"
"2","0.0010572270257398486","0.0010572270257398486","0.0010572270257398486"
"3","0.0010222259443253279","0.0010222259443253279","0.0010222259443253279"
"4","0.0009668006678111851","0.0009668006678111851","0.0009668006678111851"
"5","0.0009732164908200502","0.0009732164908200502","0.0009732164908200502"
"6","0.0009315471397712827","0.0009315471397712827","0.0009315471397712827"
"7","0.000616445962805301","0.000616445962805301","0.000616445962805301"
"8","0.0006595273152925074","0.0006595273152925074","0.0006595273152925074"
"9","0.0006428468623198569","0.0006428468623198569","0.0006428468623198569"
"10","0.0007209681207314134","0.0007209681207314134","0.0007209681207314134"
