"Step","phase2_balanced_resnet50 - val/err_female","phase2_balanced_resnet50 - val/err_female__MIN","phase2_balanced_resnet50 - val/err_female__MAX","phase2_balanced_convnext_tiny - val/err_female","phase2_balanced_convnext_tiny - val/err_female__MIN","phase2_balanced_convnext_tiny - val/err_female__MAX","phase2_balanced_vit_b_16 - val/err_female","phase2_balanced_vit_b_16 - val/err_female__MIN","phase2_balanced_vit_b_16 - val/err_female__MAX","phase2_balanced_swin_t - val/err_female","phase2_balanced_swin_t - val/err_female__MIN","phase2_balanced_swin_t - val/err_female__MAX","dinov2_small - val/err_female","dinov2_small - val/err_female__MIN","dinov2_small - val/err_female__MAX","swin_t - val/err_female","swin_t - val/err_female__MIN","swin_t - val/err_female__MAX","vit_b_16 - val/err_female","vit_b_16 - val/err_female__MIN","vit_b_16 - val/err_female__MAX","convnext_tiny - val/err_female","convnext_tiny - val/err_female__MIN","convnext_tiny - val/err_female__MAX","efficientnet_b3 - val/err_female","efficientnet_b3 - val/err_female__MIN","efficientnet_b3 - val/err_female__MAX","cnn_baseline - val/err_female","cnn_baseline - val/err_female__MIN","cnn_baseline - val/err_female__MAX"
"0","0.0010791890090331435","0.0010791890090331435","0.0010791890090331435","0.0007573656039312482","0.0007573656039312482","0.0007573656039312482","0.0011205753544345498","0.0011205753544345498","0.0011205753544345498","0.000992393703199923","0.000992393703199923","0.000992393703199923","0.0011312969727441669","0.0011312969727441669","0.0011312969727441669","0.0010406874353066087","0.0010406874353066087","0.0010406874353066087","0.0014478504890576005","0.0014478504890576005","0.0014478504890576005","0.0009432514780201018","0.0009432514780201018","0.0009432514780201018","0.0017524383729323745","0.0017524383729323745","0.0017524383729323745","0.0011270736576989293","0.0011270736576989293","0.0011270736576989293"
"1","0.002512408187612891","0.002512408187612891","0.002512408187612891","0.0008371486910618842","0.0008371486910618842","0.0008371486910618842","0.0009928904473781586","0.0009928904473781586","0.0009928904473781586","0.00081899348879233","0.00081899348879233","0.00081899348879233","0.0014336906606331468","0.0014336906606331468","0.0014336906606331468","0.0009239449282176793","0.0009239449282176793","0.0009239449282176793","0.0008016581414267421","0.0008016581414267421","0.0008016581414267421","0.000753765634726733","0.000753765634726733","0.000753765634726733","0.0011712643317878246","0.0011712643317878246","0.0011712643317878246","0.0012083749752491713","0.0012083749752491713","0.0012083749752491713"
"2","0.0007975989137776196","0.0007975989137776196","0.0007975989137776196","0.0009112178231589496","0.0009112178231589496","0.0009112178231589496","0.0006900060689076781","0.0006900060689076781","0.0006900060689076781","0.0007059508934617043","0.0007059508934617043","0.0007059508934617043","0.0018675533356145024","0.0018675533356145024","0.0018675533356145024","0.0008619468426331878","0.0008619468426331878","0.0008619468426331878","0.0007528113201260567","0.0007528113201260567","0.0007528113201260567","0.0006832730723544955","0.0006832730723544955","0.0006832730723544955","0.0010007746750488877","0.0010007746750488877","0.0010007746750488877","0.0009330614702776074","0.0009330614702776074","0.0009330614702776074"
"3","0.0008836408378556371","0.0008836408378556371","0.0008836408378556371","0.0006569267716258764","0.0006569267716258764","0.0006569267716258764","0.0006767908344045281","0.0006767908344045281","0.0006767908344045281","0.0007352839456871152","0.0007352839456871152","0.0007352839456871152","0.0017255134880542755","0.0017255134880542755","0.0017255134880542755","0.0011008311994373798","0.0011008311994373798","0.0011008311994373798","0.0007151958416216075","0.0007151958416216075","0.0007151958416216075","0.0006711081368848681","0.0006711081368848681","0.0006711081368848681","0.0009540262399241328","0.0009540262399241328","0.0009540262399241328","0.0008193776593543589","0.0008193776593543589","0.0008193776593543589"
"4","0.0008553593070246279","0.0008553593070246279","0.0008553593070246279","0.0008747144602239132","0.0008747144602239132","0.0008747144602239132","0.0008805745164863765","0.0008805745164863765","0.0008805745164863765","0.0006695861811749637","0.0006695861811749637","0.0006695861811749637","0.0014304990181699395","0.0014304990181699395","0.0014304990181699395","0.0006552466657012701","0.0006552466657012701","0.0006552466657012701","0.0009521177271381021","0.0009521177271381021","0.0009521177271381021","0.0005611835513263941","0.0005611835513263941","0.0005611835513263941","0.000798597524408251","0.000798597524408251","0.000798597524408251","0.000739538692869246","0.000739538692869246","0.000739538692869246"
"5","0.0006597272004000843","0.0006597272004000843","0.0006597272004000843","0.0005738637410104275","0.0005738637410104275","0.0005738637410104275","0.0006066362257115543","0.0006066362257115543","0.0006066362257115543","0.0006153967697173357","0.0006153967697173357","0.0006153967697173357","0.002275306498631835","0.002275306498631835","0.002275306498631835","0.000612090399954468","0.000612090399954468","0.000612090399954468","0.0008035749197006226","0.0008035749197006226","0.0008035749197006226","0.0005874611670151353","0.0005874611670151353","0.0005874611670151353","0.0006301709800027311","0.0006301709800027311","0.0006301709800027311","0.0006521165487356484","0.0006521165487356484","0.0006521165487356484"
"6","0.0006313920603133738","0.0006313920603133738","0.0006313920603133738","0.0005601636366918683","0.0005601636366918683","0.0005601636366918683","0.0006280023953877389","0.0006280023953877389","0.0006280023953877389","0.000641410646494478","0.000641410646494478","0.000641410646494478","0.0016015060245990753","0.0016015060245990753","0.0016015060245990753","0.0006599341286346316","0.0006599341286346316","0.0006599341286346316","0.0006249753059819341","0.0006249753059819341","0.0006249753059819341","0.0005193206598050892","0.0005193206598050892","0.0005193206598050892","0.0007035116432234645","0.0007035116432234645","0.0007035116432234645","0.0007749121868982911","0.0007749121868982911","0.0007749121868982911"
"7","0.000599301652982831","0.000599301652982831","0.000599301652982831","0.0006419679848477244","0.0006419679848477244","0.0006419679848477244","0.0005983879673294723","0.0005983879673294723","0.0005983879673294723","0.0005542381550185382","0.0005542381550185382","0.0005542381550185382","0.0010829890379682183","0.0010829890379682183","0.0010829890379682183","0.0006482584867626429","0.0006482584867626429","0.0006482584867626429","0.0006023418391123414","0.0006023418391123414","0.0006023418391123414","0.0006119917379692197","0.0006119917379692197","0.0006119917379692197","0.0006195157766342163","0.0006195157766342163","0.0006195157766342163","0.00074101856444031","0.00074101856444031","0.00074101856444031"
"8","0.0005917869857512414","0.0005917869857512414","0.0005917869857512414","0.0004885305534116924","0.0004885305534116924","0.0004885305534116924","0.0005900266696698964","0.0005900266696698964","0.0005900266696698964","0.0005563728045672178","0.0005563728045672178","0.0005563728045672178","0.0018556941067799926","0.0018556941067799926","0.0018556941067799926","0.0006574273575097322","0.0006574273575097322","0.0006574273575097322","0.000562876055482775","0.000562876055482775","0.000562876055482775","0.0005721510387957096","0.0005721510387957096","0.0005721510387957096","0.0005555387469939888","0.0005555387469939888","0.0005555387469939888","0.0005529664922505617","0.0005529664922505617","0.0005529664922505617"
"9","0.0005673422710970044","0.0005673422710970044","0.0005673422710970044","0.0005027083097957075","0.0005027083097957075","0.0005027083097957075","0.0005753827281296253","0.0005753827281296253","0.0005753827281296253","0.0005604480393230915","0.0005604480393230915","0.0005604480393230915","0.0013888359535485506","0.0013888359535485506","0.0013888359535485506","0.0005735317245125771","0.0005735317245125771","0.0005735317245125771","0.0006153749418444932","0.0006153749418444932","0.0006153749418444932","0.0005325090605765581","0.0005325090605765581","0.0005325090605765581","0.0006055232370272279","0.0006055232370272279","0.0006055232370272279","0.0005785003304481506","0.0005785003304481506","0.0005785003304481506"
